# Two-light halts only. Aaron, 2026-08-26. `Side Awarded` is who the referee
# gave the action to, i.e. who held PRIORITY -- not necessarily who scored:
# on a mixed halt an off-target hit by the priority holder annuls and nothing
# is awarded. Single-light halts are absent by design, so Score JUMPS between
# rows and is NOT a checksum here.
Score	Time stamp	Left	Right	Side Awarded
0:1	00:09.776	valid	valid	right
2:1	00:56.589	valid	valid	left
3:1	01:17.911	valid	valid	left
3:2	01:33.493	valid	valid	right
6:4	05:32.999	valid	valid	left
6:5	06:27.887	valid	valid	right
	07:24.477	off target	valid	left
8:7	08:03.850	valid	valid	right
9:7	08:18.064	valid	valid	left
9:8	08:55.001	off target	valid	right
10:9	09:30.569	valid	valid	left
	10:09.208	off target	valid	left
11:10	11:46.772	valid	valid	right
13:10	12:57.876	valid	valid	left
14:11	13:41.787	valid	valid	right
