time,scorer,score,note
6.900,left,15-20,
30.700,right,15-21,
44.866,right,15-22,
154.100,right,15-24,
282.666,left,17-25,
322.700,none,,off_target
334.100,right,17-26,
344.700,none,,off_target
360.467,right,17-27,
380.900,left,18-27,
413.234,left,19-28,
426.933,right,19-29,
448.333,left,20-29,
464.000,none,,off_target
483.533,right,20-30,
534.100,right,20-31,
557.300,none,,off_target
595.767,left,21-31,
621.966,right,21-32,
632.166,none,,off_target
675.966,none,,off_target
707.366,left,22-32,
726.533,left,23-32,
773.733,none,,off_target
784.367,right,23-33,
824.100,right,23-34,
846.666,left,24-34,
870.300,left,25-34,
880.100,none,,off_target
890.600,none,,off_target
897.666,none,,simul
960.633,right,25-35,
1033.667,none,,off_target
1048.800,none,,off_target
1058.567,none,,off_target
1073.267,right,25-36,
1092.100,left,26-36,
1114.366,none,,off_target
1128.933,right,26-37,
1151.466,right,26-38,
1162.600,none,,off_target
1209.300,none,,off_target
1221.733,none,,off_target
1229.801,right,26-39,
1251.200,right,26-40,
1302.166,right,26-41,
1329.200,none,,off_target
1338.533,left,27-41,
1351.900,none,,off_target
1361.733,right,27-42,
1378.166,none,,off_target
1389.866,none,,off_target
1418.400,none,,off_target
1429.099,right,27-43,
1480.633,none,,off_target
1492.400,none,,off_target
1498.900,none,,off_target
1511.633,right,27-44,
1533.066,left,28-44,
1544.500,right,28-45,
