# Two-light halts only. Aaron, 2026-09-06. TEAM RELAY -- fencers change between
# legs, so the score is the cumulative TEAM score. `Side Awarded` is who the referee
# gave the action to, i.e. who held PRIORITY -- not necessarily who scored: on a
# mixed halt an off-target hit by the priority holder annuls and nothing is awarded.
# Blank = nothing awarded (both off target). NA = referee gave no priority.
# Single-lamp halts are absent by design, so Score JUMPS and is NOT a checksum here.
Score	Time stamp	Left	Right	Side Awarded
0:0	00:14.562	off target	valid	left
0:0	01:21.581	off target	off target	
1:1	01:55.148	off target	valid	right
1:3	02:43.429	valid	valid	right
2:4	03:48.361	valid	off target	left
5:4	05:07.740	valid	valid	left
10:5	08:32.578	valid	off target	left
10:6	09:15.154	valid	valid	right
10:9	10:30.563	valid	valid	right
11:9	11:17.343	valid	valid	left
13:9	12:11.130	valid	valid	left
13:10	12:57.710	valid	valid	right
13:11	13:31.844	valid	valid	right
15:11	14:06.846	valid	valid	left
