time,scorer,score,note
11.033,none,0-0,off_target
20.900,right,0-1,
41.000,right,0-2,
70.133,right,0-3,
86.666,right,0-4,
149.866,left,1-4,
167.100,right,1-5,
186.400,right,1-6,
207.500,none,,off_target
224.600,left,2-6,
245.600,none,,off_target
265.600,left,3-6,
283.500,right,3-7,
316.533,left,4-7,
346.200,right,4-8,
388.833,left,5-8,
415.500,right,5-9,
432.600,right,5-10,
448.200,right,5-11,
463.100,none,,off_target
485.200,right,5-12,
523.900,right,5-13,
542.800,right,5-14,
554.700,right,5-15,
