time,scorer,score,note
18.217,none,,off_target
43.109,left,1-0,
55.350,left,2-0,
69.333,right,2-1,
80.500,right,2-2,
92.166,left,3-2,
107.066,right,3-3,
122.750,left,4-3,
138.166,right,4-4,
165.967,right,4-5,
182.266,none,,off_target
217.766,right,4-6,
244.216,right,4-7,
269.583,none,,simul
305.083,none,,off_target
336.933,right,4-8,
381.016,left,5-8,
396.550,right,5-9,
423.116,left,6-9,
433.683,right,6-10,
483.683,left,7-10,
505.016,none,,off_target
534.383,none,,off_target
543.700,none,,off_target
593.367,right,7-11,
614.816,left,8-11,
628.050,none,,off_target
643.850,none,,off_target
753.816,right,8-12,
825.150,none,,off_target
847.967,none,,off_target
854.950,none,,off_target
865.516,none,,off_target
890.083,none,,off_target
904.916,right,8-13,
917.900,left,9-13,
945.617,right,9-14,
982.050,right,9-15,
